"url, title, page_address, status, meter, total, finish_date"
"ジャズ唱歌ボランティアコンサートを被災地の施設の方々へ,/projects/jazzballade,プロジェクトが成立しました！,100%,150000,10月27日"
"書籍『百年の愚行』の続編を出版します！,/projects/idiocy,プロジェクトが成立しました！,126%,3802000,10月27日"
"奈良県の小学生によるご当地弁当商品化プロジェクト!,/projects/obento-project,プロジェクトが成立しました！,106%,320000,10月26日"
"ドキュメンタリー映画『TOUR DE TSUMARI（仮）』の制作をしたい！,/projects/tsumari,プロジェクトが成立しました！,108%,544000,10月25日"
"日本の高校生を応援するオーストラリアの旅の支援をして下さい！,/projects/makotoauss,プロジェクトが成立しました！,129%,369000,10月24日"
"ゴットマン博士を呼んで夫婦・カップル向け講演会を開催しよう,/projects/gottman1103,プロジェクトが成立しました！,103%,1039000,10月24日"
"ネパールの子どもたちを笑顔に！差別と障害で苦しむ患者さんのために医療チームを派遣！,/projects/CLPP2013,プロジェクトが成立しました！,104%,1462000,10月22日"
"国際共同制作 現代演劇 shelf  「nora(s)」,/projects/shelf_volume16_noras,プロジェクトが成立しました！,101%,235000,10月21日"
"被災した宮城県亘理町の沿岸部で熱気球フェスティバルを開催！,/projects/nethukikyu,プロジェクトが成立しました！,107%,1339000,10月18日"
"ダンス・音楽・エンターテイメントの力で福祉を盛り上げよう！,/projects/socialworkeeerz,プロジェクトが成立しました！,114%,344000,10月17日"
"アレルギー経験を活かそう！アレルギー対応の手作り化粧品ワークショップ開催します！,/projects/pearl,プロジェクトが成立しました！,102%,153000,10月17日"
"東ティモールの子どもためにiPadを購入し自由に学ぶ機会を,/projects/futures,プロジェクトが成立しました！,100%,473400,10月11日"
"ふくしまの子どもたちに、「影絵」で希望の光を届けたい！,/projects/fukushima,プロジェクトが成立しました！,119%,835000,10月10日"
"マスメディアの終焉と報道～ジャーナリズムフェスタ２０１３,/projects/JournalismFesta2013,プロジェクトが成立しました！,103%,103000,10月9日"
"Library of the Year 2013を開催したい！,/projects/loy2013,プロジェクトが成立しました！,127%,255000,10月9日"
"ベトナムフエ省沿岸部40世帯200人に安全な水を提供する！,/projects/bridge_asia_japan_vn,プロジェクトが成立しました！,119%,357000,10月8日"
"日比野克彦がラオスの小学生と絵を描く　ポントゥン村美術部2013,/projects/phontoum,プロジェクトが成立しました！,113%,566000,10月6日"
"「防災☆ママブック」被災地のママが教える、震災から我が子を守る術を紹介！,/projects/standformothers,プロジェクトが成立しました！,119%,1495000,10月4日"
"三陸の未来を担う子どもたちのために、120年続く地域文化と産業を残したい！,/projects/apple,プロジェクトが成立しました！,121%,606000,9月28日"
"海人写真家・古谷千佳子が、今度は日本各地の海女さんを撮影！,/projects/satoumi-ama,プロジェクトが成立しました！,125%,1105000,9月20日"
"釜石の遊び場を失った子ども達に手造り公園で思いっきり遊んでもらいたい！,/projects/cosmos,プロジェクトが成立しました！,119%,2396000,9月19日"
"カンボジアの読み書きできない女性が紡ぐシルクの物語を全国に届けよう！,/projects/MekongBlue,プロジェクトが成立しました！,109%,2197000,9月18日"
"気仙沼の高校生が考案！地元食材を活かした新商品「なまり節ラー油」を全国に届けたい,/projects/iclub_kesennuma,プロジェクトが成立しました！,121%,1695000,9月18日"
"石巻を日本で一番住みたいまちにするためのフューチャーセンターを作りたい！,/projects/minamiminami,プロジェクトが成立しました！,121%,2422000,9月17日"
"生きるチャンスを！アジアの子どもたちに、医療の進んだ日本で治療の機会を！,/projects/Pay-forwardClub,プロジェクトが成立しました！,102%,1025000,9月16日"
"日本全国の学校に宇宙図2013を！一校に１枚宇宙図プロジェクト,/projects/uchuuzu,プロジェクトが成立しました！,117%,1647000,9月15日"
"南相馬と杉並区の子どもたちで本物のミュージカルを作ろう！,/projects/37nouta,プロジェクトが成立しました！,108%,1085000,9月14日"
"バングラデシュの患者を救え！最高の授業をナースの卵に届けよう,/projects/nurseducation,プロジェクトが成立しました！,125%,1002000,9月14日"
"富山市まちなかで八百屋をするプロジェクト,/projects/machinaka-yaoya,プロジェクトが成立しました！,102%,153000,9月13日"
"障がいのある子が放課後デイサービスに通う為の送迎車を購入したい！,/projects/picot,プロジェクトが成立しました！,111%,1682000,9月11日"
"仙台で老若男女が集まり、音楽とアートに囲まれて東北の未来を語り合う寺フェスがしたい！,/projects/929terafes,プロジェクトが成立しました！,113%,452000,9月11日"
