"title, page_address, curated_page, category, owner, rest, patron, meter, total"
"日本で使われなくなったサッカーボールを世界中の子どもたちに渡す送料を集めたい！,https://cf.sportie.jp/sportie/projects/427,Sports IT Solution,社会貢献,ピースボールアクション関東"
"FM NACK5 ・STROBE NIGHT! を盛り上げたい！ポスター✕ ミニマガジン発行プロジェクト,http://greenfunding.jp/lab/projects/542,GREEN FUNDING Lab,出版,NACK5・STROBE NIGHT!"
"表彰台の常連！2013年下期はさらなる飛躍を目指す！,http://greenfunding.jp/allez-japan/projects/538,ALLEZ! japan,スポーツ,荒川 麟,終了,6,101,50500"
"被災したビーチで、入場料無料の東北最大規模のビーチフェスを開催したい！,http://greenfunding.jp/lab/projects/463,GREEN FUNDING Lab,イベント,七ヶ浜ビーチフェス実行委員会,終了,87,118,1178000"
"スマイルフットサル東北大震災復興支援第二弾！富岡高校女子サッカー部の生徒達を横浜へ！,https://cf.sportie.jp/sportie/projects/400,Sports IT Solution,社会貢献,スマイルフットサル,終了,24,108,215000"
"世界に700kgしかない幻のスリランカコーヒー「Forest Coffee」を復活させたい！,http://greenfunding.jp/tokyo-calendar/projects/393,東京カレンダー,フード,日本フェアトレード委員会,終了,16,118,118000"
"大奥、芸者、町娘。江戸着物をまとい、女たちが現れる『江戸着物ファッションショー』,http://greenfunding.jp/greengirl/projects/389,GREEN GIRL,ファッション,江戸着物ファッションショー実行委員会 西端真矢,終了,35,123,184000"
"「政治家になろう、立候補しよう。」と誰もが言いあえる社会をつくるプロジェクト,http://greenfunding.jp/sustena/projects/387,sustena,社会貢献,山口あずさ,終了,21,113,225000"
"人物をポップに描く、画家・瀧元恵之久の個展を開催！,http://greenfunding.jp/timeouttokyo/projects/378,タイムアウト東京,アート,瀧元 恵之久,終了,27,111,222500"
"刺繍×植物でつくりだす大きな世界に入り込む。「木の下でぼーっと」プロジェクト。,http://greenfunding.jp/greengirl/projects/375,GREEN GIRL,アート,咲とスズキアキコ,終了,72,125,251000"
"シントラ ポルトガルPRO参戦！世界トップはすぐそこに！,http://greenfunding.jp/allez-japan/projects/401,ALLEZ! japan,スポーツ,大原沙莉,終了,33,101,151500"
"「愛するみつばちと自然を守りたい」みつばち目線の絵本を出版するプロジェクト。,http://greenfunding.jp/sustena/projects/398,sustena,出版,後藤ハニー,終了,15,104,83000"
"才能溢れる若きレーサー！第3戦のSUGOを狙う！,http://greenfunding.jp/allez-japan/projects/394,ALLEZ! japan,スポーツ,竹内真之介"
